id_kabkota,status,tgl_input,jumlah
436,4,2020-04-03,74
436,7,2020-04-03,10
436,4,2020-04-04,3
436,7,2020-04-05,1
436,4,2020-04-06,7
436,7,2020-04-06,2
436,4,2020-04-07,4
436,7,2020-04-07,2
436,4,2020-04-08,6
436,7,2020-04-08,2
436,7,2020-04-09,2
436,7,2020-04-10,11
436,7,2020-04-11,14
436,7,2020-04-12,23
436,7,2020-04-13,11
436,4,2020-04-15,19
436,4,2020-04-17,5
436,7,2020-04-17,1
436,6,2020-04-17,6
436,4,2020-04-18,2
436,7,2020-04-18,6
436,4,2020-04-19,8
436,7,2020-04-19,1
436,7,2020-04-20,2
436,7,2020-04-21,10
436,4,2020-04-23,10
436,7,2020-04-23,0
436,4,2020-04-24,78
436,7,2020-04-24,2
436,7,2020-04-25,2
436,7,2020-04-28,4
436,7,2020-04-29,18
436,7,2020-04-30,2
436,11,2020-04-30,6
