id_kabkota,status,tgl_input,jumlah
437,4,2020-04-03,11
437,4,2020-04-05,1
437,7,2020-04-05,4
437,7,2020-04-07,2
437,5,2020-04-07,1
437,4,2020-04-10,1
437,7,2020-04-10,3
437,6,2020-04-10,4
437,4,2020-04-11,1
437,7,2020-04-14,1
437,7,2020-04-15,-1
437,7,2020-04-16,3
437,4,2020-04-18,4
437,7,2020-04-18,2
437,4,2020-04-19,-4
437,7,2020-04-19,-2
437,4,2020-04-27,1
437,7,2020-04-27,2
437,8,2020-04-27,1
437,6,2020-04-27,6
437,11,2020-04-27,4
437,4,2020-04-29,3
437,7,2020-04-29,4
437,6,2020-04-30,4
437,7,2020-04-30,-3
437,4,2020-04-30,-2
