id_kabkota,status,tgl_input,jumlah
438,4,2020-04-03,86
438,7,2020-04-03,36
438,2,2020-04-03,1
438,3,2020-04-03,1
438,4,2020-04-04,49
438,4,2020-04-05,5
438,7,2020-04-05,5
438,5,2020-04-05,1
438,8,2020-04-05,1
438,5,2020-04-06,1
438,7,2020-04-07,4
438,5,2020-04-07,4
438,8,2020-04-07,4
438,4,2020-04-08,5
438,7,2020-04-08,2
438,4,2020-04-09,6
438,7,2020-04-09,4
438,4,2020-04-10,2
438,7,2020-04-10,18
438,5,2020-04-10,1
438,3,2020-04-10,-1
438,2,2020-04-10,-1
438,4,2020-04-11,2
438,7,2020-04-11,20
438,7,2020-04-12,-20
438,4,2020-04-13,1
438,7,2020-04-13,40
438,2,2020-04-13,1
438,3,2020-04-13,1
438,4,2020-04-15,2
438,7,2020-04-15,20
438,2,2020-04-16,2
438,4,2020-04-17,3
438,4,2020-04-18,3
438,7,2020-04-18,10
438,6,2020-04-18,60
438,4,2020-04-19,2
438,5,2020-04-19,1
438,4,2020-04-21,5
438,7,2020-04-21,4
438,8,2020-04-21,1
438,6,2020-04-21,1
438,4,2020-04-23,21
438,7,2020-04-23,8
438,5,2020-04-23,1
438,6,2020-04-23,28
438,2,2020-04-23,1
438,4,2020-04-24,2
438,2,2020-04-24,2
438,7,2020-04-26,4
438,6,2020-04-29,4
438,4,2020-04-29,2
438,7,2020-04-29,5
438,11,2020-04-30,58
438,6,2020-04-30,10
