id_kabkota,status,tgl_input,jumlah
436,4,2020-04-03,64
436,7,2020-04-03,10
436,5,2020-04-03,0
436,8,2020-04-03,0
436,2,2020-04-03,0
436,1,2020-04-03,0
436,3,2020-04-03,0
446,4,2020-04-03,3
446,7,2020-04-03,0
446,5,2020-04-03,0
446,8,2020-04-03,0
446,2,2020-04-03,0
446,1,2020-04-03,0
446,3,2020-04-03,0
440,4,2020-04-03,0
440,7,2020-04-03,0
440,5,2020-04-03,0
440,8,2020-04-03,0
440,2,2020-04-03,0
440,1,2020-04-03,0
440,3,2020-04-03,0
444,4,2020-04-03,66
444,7,2020-04-03,0
444,5,2020-04-03,0
444,8,2020-04-03,0
444,2,2020-04-03,0
444,1,2020-04-03,0
444,3,2020-04-03,0
442,4,2020-04-03,18
442,7,2020-04-03,1
442,5,2020-04-03,0
442,8,2020-04-03,0
442,2,2020-04-03,0
442,1,2020-04-03,0
442,3,2020-04-03,0
476,4,2020-04-03,86
476,7,2020-04-03,19
476,5,2020-04-03,4
476,8,2020-04-03,6
476,2,2020-04-03,2
476,1,2020-04-03,0
476,3,2020-04-03,2
443,4,2020-04-03,36
443,7,2020-04-03,10
443,5,2020-04-03,0
443,8,2020-04-03,0
443,2,2020-04-03,0
443,1,2020-04-03,0
443,3,2020-04-03,0
445,4,2020-04-03,0
445,7,2020-04-03,0
445,5,2020-04-03,0
445,8,2020-04-03,0
445,2,2020-04-03,0
445,1,2020-04-03,0
445,3,2020-04-03,0
438,4,2020-04-03,50
438,7,2020-04-03,36
438,5,2020-04-03,0
438,8,2020-04-03,1
438,2,2020-04-03,0
438,1,2020-04-03,0
438,3,2020-04-03,1
441,4,2020-04-03,0
441,7,2020-04-03,0
441,5,2020-04-03,0
441,8,2020-04-03,0
441,2,2020-04-03,0
441,1,2020-04-03,0
441,3,2020-04-03,0
439,4,2020-04-03,3
439,7,2020-04-03,0
439,5,2020-04-03,0
439,8,2020-04-03,0
439,2,2020-04-03,0
439,1,2020-04-03,0
439,3,2020-04-03,0
447,4,2020-04-03,5
447,7,2020-04-03,5
447,5,2020-04-03,0
447,8,2020-04-03,0
447,2,2020-04-03,0
447,1,2020-04-03,0
447,3,2020-04-03,0
437,4,2020-04-03,11
437,7,2020-04-03,0
437,5,2020-04-03,0
437,8,2020-04-03,0
437,2,2020-04-03,0
437,1,2020-04-03,0
437,3,2020-04-03,0
436,4,2020-04-04,67
436,7,2020-04-04,10
436,5,2020-04-04,0
436,8,2020-04-04,0
436,2,2020-04-04,0
436,1,2020-04-04,0
436,3,2020-04-04,0
446,4,2020-04-04,2
446,7,2020-04-04,1
446,5,2020-04-04,0
446,8,2020-04-04,0
446,2,2020-04-04,0
446,1,2020-04-04,0
446,3,2020-04-04,0
440,4,2020-04-04,0
440,7,2020-04-04,0
440,5,2020-04-04,0
440,8,2020-04-04,0
440,2,2020-04-04,0
440,1,2020-04-04,0
440,3,2020-04-04,0
444,4,2020-04-04,73
444,7,2020-04-04,0
444,5,2020-04-04,1
444,8,2020-04-04,0
444,2,2020-04-04,0
444,1,2020-04-04,0
444,3,2020-04-04,0
442,4,2020-04-04,25
442,7,2020-04-04,1
442,5,2020-04-04,0
442,8,2020-04-04,0
442,2,2020-04-04,0
442,1,2020-04-04,0
442,3,2020-04-04,0
476,4,2020-04-04,86
476,7,2020-04-04,19
476,5,2020-04-04,4
476,8,2020-04-04,6
476,2,2020-04-04,2
476,1,2020-04-04,0
476,3,2020-04-04,2
443,4,2020-04-04,41
443,7,2020-04-04,10
443,5,2020-04-04,0
443,8,2020-04-04,0
443,2,2020-04-04,0
443,1,2020-04-04,0
443,3,2020-04-04,0
445,4,2020-04-04,0
445,7,2020-04-04,0
445,5,2020-04-04,0
445,8,2020-04-04,0
445,2,2020-04-04,0
445,1,2020-04-04,0
445,3,2020-04-04,0
438,4,2020-04-04,99
438,7,2020-04-04,36
438,5,2020-04-04,0
438,8,2020-04-04,1
438,2,2020-04-04,0
438,1,2020-04-04,0
438,3,2020-04-04,1
441,4,2020-04-04,0
441,7,2020-04-04,0
441,5,2020-04-04,0
441,8,2020-04-04,0
441,2,2020-04-04,0
441,1,2020-04-04,0
441,3,2020-04-04,0
439,4,2020-04-04,3
439,7,2020-04-04,0
439,5,2020-04-04,0
439,8,2020-04-04,0
439,2,2020-04-04,0
439,1,2020-04-04,0
439,3,2020-04-04,0
447,4,2020-04-04,5
447,7,2020-04-04,5
